_NAME_	Factor1	Factor2	Factor3	load	secondary
v000203	0.7680672249	0.0314262412	0.1379109004	fac1	
v000204	0.8403122736	-0.023594508	0.0943743734	fac1	
v000207	0.75808455	-0.121609318	-0.013394071	fac1	
v000209	0.787543566	-0.064089358	0.0552988401	fac1	
v000212	0.7364213509	-0.066068291	-0.047158488	fac1	
v000214	0.170615031	0.8039486684	-0.055115091	fac2	
v000219	0	0	0		
v000220	0.8033073165	0.0213969107	-0.007293534	fac1	
v000222	0.8474481248	-0.006080862	0.0981901033	fac1	
v000229	0.9209247955	0.0332657009	0.0358161238	fac1	
v000234	0.7066232617	-0.134648856	-0.218791076	fac1	
v000236	0.8606168026	0.0280855542	0.0316406911	fac1	
v000240	0.8126883002	0.0373139077	-0.017810348	fac1	
v000248	0.7562069169	-0.169093606	-0.002118201	fac1	
v000250	0.8079498875	0.0007235569	-0.010646551	fac1	
v000253	0	0	0		
v000263	0.7692050661	0.078132704	0.0216556565	fac1	
v000267	0.7335621903	-0.086638022	-0.064662627	fac1	
v000269	0.7400600838	-0.115970797	0.1141764621	fac1	
v000278	-0.058322525	0.6062941465	0.0988835448	fac2	
v000279	0	0	0		
v000290	0.7817969962	0.0851733021	0.10270348	fac1	
v000308	0.8208866378	0.0357930723	0.1095820463	fac1	
v000334	0.6861100309	-0.075348456	0.0045459328	fac1	
v000336	0.7270912924	-0.207661672	0.1003939097	fac1	
v000337	0.6816590302	-0.053020644	0.2908825109	fac1	
v000340	0.6160208811	-0.188062438	-0.257169706	fac1	
v000342	0.1404985135	0.0257515419	0.7000200618	fac3	
v000347	0.7165837971	0.031536433	0.0321791897	fac1	
v000348	-0.069400696	0.7263472964	0.2097219211	fac2	
v000349	0.7427361069	0.1057377077	-0.018178751	fac1	
v000355	0.845005565	-0.074982202	-0.088287534	fac1	
v000375	0.0254044847	0.6938627677	0.2082737109	fac2	
v000379	0.774856645	-0.089115567	0.0432369239	fac1	
v000382	0.7692756383	0.0126146037	0.0336787676	fac1	
v000389	0.8574865826	-0.037344495	-0.125920811	fac1	
v000396	0.7899412666	-0.0308993	-0.049318041	fac1	
v000398	0.811675783	0.3520415108	-0.148300998	fac1	
v000414	0.7402315081	-0.026788563	-0.003471614	fac1	
v000420	0.6836661965	-0.137712451	0.0329708883	fac1	
v000421	0.6156306768	-0.173896518	-0.317945308	fac1	
v000434	0.7271745294	-0.181084983	-0.003928622	fac1	
v000449	0.7678539667	0.0039408821	0.0322866521	fac1	
v000450	0.0903085495	0.370988064	0.4331899581	fac3	
v000457	0.7846405363	-0.005772123	0.0612619954	fac1	
v000464	0.7393018202	-0.208563795	0.0199930855	fac1	
v000501	0.6688578617	0.0111090458	0.0063556441	fac1	
v000506	0.0299956242	0.4611406658	0.0471299373	fac2	
v000516	0.7606257142	0.037024258	-0.119808905	fac1	
v000521	0.7330112399	-0.217408267	0.0314308322	fac1	
v000534	-0.006084646	0.7313787448	0.0097864618	fac2	
v000560	0.7640472641	-0.155054652	0.1228995462	fac1	
v000566	0.6857245412	-0.05380978	-0.103187669	fac1	
v000578	0.0155604091	-0.05795882	0.9121267662	fac3	
v000579	-0.134177786	0.3156416432	0.4798341583	fac3	
v000589	0.0678533625	0.5935910528	-0.052981812	fac2	
v000620	0.7109077084	0.1135457443	-0.10495759	fac1	
v000646	0.0369709515	0.791299819	-0.159467786	fac2	
v000683	-0.082049789	0.2112346741	0.661072492	fac3	
v000686	0.6959424839	-0.154141951	-0.011880118	fac1	
v000694	-0.062918045	0.7790076971	-0.043471931	fac2	
v000708	0.6434706304	-0.078944443	-0.136035559	fac1	
v000717	0.653842502	-0.177142216	0.0154204254	fac1	
v000752	-0.176585256	0.8368224803	0.0024746751	fac2	
v000754	-0.309334978	0.4556704228	0.1697653785	fac2	
v000791	0.0851317429	-0.06147513	0.8889110744	fac3	
v000796	0.769799678	0.033171507	0.0722060354	fac1	
v000802	0.7703061643	-0.027288272	0.0103481136	fac1	
v000816	-0.005450392	0.6106330476	0.0056965625	fac2	
v000848	0.5221653597	0.2705468739	0.1333598528	fac1	
v000875	-0.031410857	0.1199011103	0.5040762014	fac3	
v000921	0.5977248593	-0.218850687	-0.063789902	fac1	
v000940	0.6423299506	-0.105330006	0.031089142	fac1	
v000943	-0.101950629	0.8987566519	-0.183845655	fac2	
